;A11;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;cluster
796;1;3;4;4;4;3;2;3;3;1;4;3;2;4;3;3;2;3;2;3;2;2;1;4;4;3;3;3;3;4;2;4;4;3;4;4;4;4;2
797;0;3;3;3;3;3;2;3;4;2;2;2;4;3;3;3;2;2;2;3;2;2;3;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;3
798;1;3;3;2;2;2;2;3;2;2;3;2;3;2;2;3;3;2;2;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;0
799;0;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;2;2;2;3;2;2;3;4;3;3;2;3;2;3;3;3;3;3;3;3;3;3
800;1;2;1;2;1;3;2;1;1;1;2;1;2;2;1;1;1;1;1;2;2;1;4;2;2;1;1;1;2;1;2;1;1;2;1;2;1;1;1
801;0;4;4;4;4;1;1;4;4;2;4;4;4;4;4;4;4;2;1;2;4;2;3;2;4;2;2;2;2;2;2;2;2;2;3;4;2;3;3
802;0;2;1;1;2;1;1;2;1;1;1;2;1;1;1;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1
803;1;1;2;4;4;2;1;1;4;1;3;1;3;2;4;2;1;1;2;4;1;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
804;0;3;4;3;3;2;3;4;3;4;3;2;4;2;4;4;2;2;2;3;2;2;3;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3
805;1;1;3;3;3;1;2;3;1;1;3;1;4;4;1;2;2;1;1;3;2;1;4;1;3;2;1;1;1;1;2;1;1;2;1;1;1;1;1
806;1;2;2;3;3;2;3;2;3;2;2;1;3;3;2;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
807;1;2;3;2;2;4;3;3;2;2;2;1;3;4;2;2;3;1;2;3;1;1;3;3;2;1;1;1;2;1;1;3;1;3;3;3;3;1;0
808;1;2;4;4;3;1;1;1;3;1;3;1;3;4;2;3;3;1;1;2;1;1;3;2;1;1;1;1;1;1;1;2;1;2;1;3;1;1;1
809;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
810;1;2;3;2;3;2;3;4;3;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;0
811;0;3;4;3;3;2;2;4;3;2;3;3;4;3;2;3;3;2;2;2;2;2;3;2;3;2;2;2;3;3;2;3;3;2;2;3;3;3;3
812;1;3;3;3;3;2;3;3;3;2;3;2;3;3;2;3;2;1;1;2;2;2;2;1;3;2;2;2;3;2;2;2;2;2;1;3;1;3;0
813;1;3;3;3;3;2;2;2;3;2;3;3;3;4;3;3;3;2;2;1;2;2;2;3;2;2;2;3;3;3;2;3;3;2;3;3;2;2;3
814;1;2;2;2;2;1;2;1;2;1;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;3;2;2;1;2;2;0
815;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
816;1;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1
817;1;2;3;3;3;3;2;2;3;2;2;1;3;4;2;2;2;2;2;3;2;2;3;2;3;2;2;2;3;2;2;1;2;3;2;3;2;3;0
818;1;2;4;4;4;1;1;4;4;4;4;1;4;4;1;4;4;1;2;1;1;1;1;1;1;2;2;1;3;1;1;1;1;1;1;4;1;1;0
819;0;2;2;2;4;3;3;4;3;2;2;3;4;4;4;2;2;2;3;3;3;2;2;3;4;2;3;3;3;2;3;1;3;3;2;3;2;3;3
820;0;2;3;2;2;3;2;3;2;2;2;2;3;3;2;2;2;2;2;2;2;2;3;2;3;1;2;1;1;1;2;2;1;2;1;2;2;1;0
821;1;2;3;2;3;2;2;3;2;2;3;3;3;3;1;2;3;2;2;3;2;2;3;2;3;2;1;1;1;1;1;2;2;2;2;2;2;2;0
822;0;3;4;4;4;2;3;3;3;2;3;3;4;3;2;2;4;2;2;3;2;2;3;2;3;3;3;2;3;2;4;3;3;3;4;3;2;3;3
823;1;3;3;2;1;3;2;4;3;1;1;2;3;2;2;2;3;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;0
824;1;3;3;3;3;3;2;1;2;2;3;2;3;3;3;3;3;2;2;3;2;2;3;3;2;2;3;2;3;2;2;2;2;3;2;3;3;2;3
825;0;3;3;3;3;2;2;3;3;2;3;2;3;4;3;3;2;2;2;2;2;2;3;2;3;4;2;2;3;2;3;2;3;3;2;3;2;3;3
826;1;2;2;2;2;3;3;2;2;3;2;1;2;3;2;1;1;2;4;2;2;2;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;2;0
827;1;2;2;2;2;4;3;2;2;2;2;1;2;2;2;2;4;2;1;3;3;3;2;2;3;2;2;3;2;3;1;2;3;3;1;4;2;1;0
828;1;2;4;3;3;2;4;4;3;4;2;2;4;2;3;2;4;1;1;3;3;2;3;2;4;3;2;3;2;3;3;2;4;3;2;3;3;4;3
829;1;2;4;4;4;1;1;1;3;1;3;3;4;4;1;2;2;1;2;2;1;1;4;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1
830;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
831;1;1;3;3;2;4;3;3;2;1;2;1;4;4;1;1;1;1;1;4;2;1;4;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;1
832;0;3;3;3;3;3;2;3;3;2;3;1;3;3;2;2;3;2;2;3;3;2;3;3;3;2;3;2;1;2;2;2;3;3;3;3;3;3;3
833;1;3;2;4;4;1;2;4;3;1;4;2;3;4;4;4;4;2;1;3;2;2;1;2;2;4;4;2;4;2;1;1;4;2;1;3;1;1;3
834;1;4;4;4;4;4;2;4;4;4;4;4;4;2;4;4;2;4;2;2;3;3;1;4;3;2;3;2;3;2;2;3;3;4;3;4;4;3;2
835;1;2;2;2;2;3;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;1;2;1;1;2;1;1;2;2;2;2;2;1;1
836;1;3;4;4;4;1;2;3;3;4;4;2;3;4;2;3;3;1;2;4;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3
837;1;1;2;2;2;2;1;2;2;1;2;1;3;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;1;3;2;1;2;2;0
838;0;2;2;2;2;2;2;2;2;3;2;1;3;2;2;2;2;2;2;3;3;2;3;2;4;2;2;2;3;2;3;2;2;3;1;2;2;3;0
839;1;2;3;2;3;3;2;2;2;1;3;2;2;2;2;2;3;3;2;3;2;2;3;2;2;2;1;1;2;2;1;3;2;3;2;2;2;2;0
840;1;3;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;0
841;1;2;2;2;2;3;3;2;2;3;2;1;3;2;2;2;2;2;1;2;2;2;3;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0
842;0;2;2;2;2;3;3;3;2;2;2;2;3;2;2;2;3;2;2;2;2;2;3;2;3;2;2;2;2;2;3;2;2;2;2;2;2;3;0
843;1;2;2;2;3;2;2;2;2;1;3;2;3;2;3;2;1;2;2;2;2;2;2;2;1;2;2;2;3;2;2;2;2;3;2;2;2;2;0
844;1;2;1;2;3;4;3;3;2;2;2;2;2;4;1;1;3;2;1;3;2;1;4;3;2;1;1;1;2;2;1;1;1;1;1;3;2;2;1
845;1;1;2;2;3;3;2;3;3;1;1;1;2;1;2;2;1;2;2;3;1;2;1;2;2;2;2;2;2;3;2;2;2;1;2;1;2;2;0
846;1;2;3;3;3;3;3;4;3;2;3;3;3;2;2;2;4;2;2;3;3;2;3;2;4;2;2;2;1;2;2;3;3;4;3;4;2;4;3
847;0;1;3;2;2;3;2;1;1;2;1;1;3;2;2;1;3;1;2;3;2;1;4;2;2;2;2;3;2;2;2;2;3;3;2;2;2;2;0
848;1;2;2;1;2;2;2;3;4;1;2;1;4;1;1;2;2;1;2;1;1;1;4;1;1;1;1;1;2;1;2;1;2;2;1;2;1;2;1
849;1;3;2;2;4;4;2;4;3;2;2;3;3;3;2;2;3;2;2;3;2;2;2;2;3;2;3;2;3;3;3;3;3;3;2;2;3;2;3
850;1;3;3;2;2;3;3;3;3;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;0
851;1;2;3;4;4;4;2;4;3;2;3;3;3;4;2;2;3;2;1;3;2;2;3;2;3;1;1;2;2;2;1;1;1;3;3;2;2;2;3
852;0;2;3;3;2;1;2;4;2;1;3;2;3;4;2;3;2;2;1;3;2;2;3;2;2;1;1;1;3;1;1;1;2;2;2;2;1;2;0
853;1;1;2;1;2;3;2;2;1;1;1;1;3;2;2;2;1;2;2;2;2;2;3;2;2;2;2;1;2;1;1;2;1;2;1;2;1;2;1
854;1;2;2;2;2;3;2;2;3;1;2;2;3;2;2;2;4;2;2;3;2;2;3;2;3;3;2;3;2;3;2;3;3;4;3;2;3;3;3
855;1;4;4;4;4;3;2;3;3;3;2;1;3;3;2;4;4;1;1;1;1;1;2;4;1;1;1;1;1;1;1;1;2;3;1;1;1;1;0
856;1;4;2;2;2;2;2;2;4;2;2;4;4;4;2;3;3;2;2;2;3;2;2;2;4;2;3;3;3;3;1;2;1;3;3;3;2;4;3
857;1;2;2;2;2;3;2;3;2;2;2;2;3;2;2;2;2;2;2;3;2;1;3;2;3;2;2;2;2;2;3;2;2;2;2;3;2;2;0
858;1;2;3;3;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;3;1;2;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
859;1;2;4;3;3;4;2;2;2;2;3;2;3;3;2;3;2;1;1;3;1;2;3;2;2;2;2;2;2;1;1;2;2;2;2;2;1;2;0
860;1;4;4;4;4;4;3;3;4;2;4;3;4;4;4;4;4;2;2;3;3;2;3;3;2;3;2;3;3;2;2;3;3;3;3;3;3;3;2
