;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;cluster
3784;1;0;0;0;1;3.0;0.0;8;12;4;0;4;4;2;3;2;1;2;3;1;4;5;5;5;4;3;3;0
3785;1;0;1;0;3;0.0;2.0;1;2;1;0;3;3;3;4;4;4;4;5;5;5;5;5;5;5;5;5;4
3786;1;0;0;0;1;3.0;0.0;5;15;5;10;3;3;3;3;2;1;2;5;4;4;4;5;4;3;5;4;2
3787;1;0;1;0;1;3.0;0.0;15;5;5;2;4;4;3;4;3;4;2;4;4;5;5;5;5;5;5;5;1
3788;1;0;0;0;1;2.0;0.0;2;4;7;1;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3789;1;0;0;0;1;3.0;0.0;30;15;10;1;3;3;2;2;3;1;4;4;4;5;5;5;5;4;4;5;2
3790;1;0;1;0;1;3.0;0.0;10;7;10;1;3;3;4;3;3;3;4;5;4;5;5;5;5;5;5;4;1
3791;1;0;0;0;1;2.0;0.0;4;3;3;1;4;4;3;3;4;1;3;4;4;4;4;4;5;5;5;4;1
3792;1;0;1;0;1;4.0;0.0;5;8;3;1;3;4;4;2;4;2;3;3;4;5;5;5;5;5;4;4;0
3793;1;0;0;0;1;3.0;0.0;5;5;5;0;3;3;3;3;3;3;3;3;3;5;3;3;3;4;3;3;0
3794;1;0;0;0;1;2.0;0.0;2;2;0;0;3;1;4;4;4;3;4;4;4;5;5;4;5;5;4;5;1
3795;0;0;1;0;3;0.0;2.0;1;1;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;5;4
3796;1;1;1;0;1;1.0;0.0;5;19;5;0;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3
3797;1;0;1;0;1;1.0;0.0;1;1;0;0;4;3;4;4;4;4;4;4;4;5;5;5;5;5;4;5;1
3798;1;0;1;0;3;0.0;1.0;0;1;0;0;4;3;4;3;4;4;4;5;5;5;5;5;5;5;5;5;4
